證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3046","建碁","93000","2596600","27.55","28.35","27.50","27.65","0.6000","71"
"3047","訊舟","3233000","39546150","12.10","12.40","12.00","12.35","0.3500","1141"
"3048","益登","431000","14824500","34.20","34.50","34.20","34.40","0.3500","272"
"3049","和鑫","2931000","30832650","10.35","10.65","10.35","10.55","0.3000","889"
"3050","鈺德","3274000","57021850","17.05","17.70","17.00","17.70","0.8000","944"
"3051","力特","757000","13247700","17.15","17.85","17.00","17.35","0.5500","427"
"3052","夆典","72000","737900","10.25","10.30","10.20","10.25","0.0000","44"
"3054","立萬利","33000","683500","20.85","20.85","20.50","20.80","0.0500","29"
"3055","蔚華科","40000","1088800","26.95","27.70","26.95","27.05","0.2500","36"
"3056","總太","1497000","44199200","30.00","30.00","29.20","29.65","-0.3000","779"
"3057","喬鼎","45000","560350","12.30","12.50","12.30","12.45","0.1500","30"
"3058","立德","210000","2188200","10.35","10.50","10.35","10.45","0.2000","108"
"3059","華晶科","3422000","125898150","36.35","37.20","36.30","36.95","1.3500","1788"
"3060","銘異","263000","5218450","19.60","19.90","19.60","19.80","0.4000","144"
"3062","建漢","13716000","348704300","24.10","25.95","23.90","25.60","2.0000","6133"
"3090","日電貿","249000","13193100","53.00","53.20","52.70","52.90","0.1000","172"
"3092","鴻碩","244000","11593250","46.50","47.80","46.50","47.80","1.9500","197"
"3094","聯傑","386000","10487550","26.70","27.35","26.70","27.25","1.0000","252"
"3130","一零四","16000","3156500","198.00","198.50","196.00","197.00","-0.5000","16"
"3138","耀登","351000","47415500","132.50","136.50","132.00","136.50","7.0000","302"
"3149","正達","399000","7849950","20.10","20.10","19.45","19.65","0.4000","237"
"3164","景岳","113000","2845700","24.70","25.60","24.70","25.00","0.5000","61"
"3167","大量","184000","10712200","57.90","59.30","57.70","58.20","1.0000","139"
"3189","景碩","13349000","2017332000","149.50","154.00","146.50","151.00","8.5000","7019"
"3209","全科","752000","28410100","37.50","38.00","37.50","38.00","0.9500","394"
"3229","晟鈦","30000","583300","20.25","20.25","19.30","20.00","0.0000","13"
"3231","緯創","6467000","184079600","28.75","28.75","28.30","28.45","-0.2500","3261"
"3257","虹冠電","187000","10656900","56.10","57.50","56.10","57.40","2.0000","114"
"3266","昇陽","384000","5045600","12.95","13.25","12.95","13.10","0.2000","103"
"3296","勝德","747000","12725800","16.80","17.30","16.70","17.25","0.6000","292"
"3305","昇貿","1101000","65285100","58.30","60.00","58.30","59.60","2.2000","741"
"3308","聯德","19000","274800","14.45","14.65","14.30","14.65","0.3000","10"
"3311","閎暉","54000","1786250","33.25","33.25","32.95","33.15","0.2500","44"
"3312","弘憶股","291000","6707600","23.00","23.10","23.00","23.05","0.4000","160"
"3321","同泰","171000","1715850","10.05","10.15","10.00","10.00","0.1300","67"
"3338","泰碩","201000","7897850","38.80","39.70","38.55","39.55","1.6000","158"
"3346","麗清","173000","5349250","30.65","31.15","30.60","31.05","1.1500","127"
"3356","奇偶","382000","11006200","28.55","28.95","28.55","28.80","0.6000","261"
"3376","新日興","324000","27597400","84.40","85.70","84.40","85.70","1.6000","234"
"3380","明泰","503000","13532300","26.70","27.05","26.65","27.00","0.5000","343"
"3383","新世紀","107000","750000","7.00","7.05","7.00","7.00","0.1000","33"
"3406","玉晶光","1264000","458796500","357.00","367.50","357.00","362.50","12.0000","1021"
"3413","京鼎","606000","116503500","189.00","194.00","188.50","192.50","6.0000","445"
"3416","融程電","117000","8754800","74.00","75.30","74.00","75.30","0.0000","88"
"3419","譁裕","367000","6155200","16.50","16.95","16.45","16.90","0.6500","224"
"3432","台端","26000","356800","13.65","13.80","13.65","13.70","0.2500","24"
"3437","榮創","115000","2342050","20.15","20.55","20.15","20.35","0.5000","92"
"3443","創意","3544000","1857601000","500.00","534.00","500.00","534.00","48.0000","2606"
"3450","聯鈞","124000","5463950","43.95","44.25","43.80","43.95","0.4500","101"
"3454","晶睿","73000","5694400","77.70","78.60","77.40","77.90","0.9000","53"
"3481","群創","65084000","833751250","12.50","13.00","12.45","12.80","0.5000","12691"
"3494","誠研","1778000","14679390","8.30","8.46","7.84","8.16","0.1100","653"
"3501","維熹","39000","1736750","44.35","44.85","44.20","44.50","0.1500","30"
"3504","揚明光","9509000","687527200","70.50","74.50","69.70","73.50","5.5000","6290"
"3515","華擎","546000","65660500","118.50","121.50","118.50","120.00","4.0000","433"
"3518","柏騰","243000","4620200","19.25","19.40","18.95","19.00","0.0000","186"
"3528","安馳","12000","592000","49.50","50.00","49.05","49.20","0.9000","12"
"3530","晶相光","98000","9572700","97.00","98.30","96.50","98.00","3.8000","96"
"3532","台勝科","6440000","1248335000","190.00","197.50","187.50","194.00","9.5000","4617"
"3533","嘉澤","980000","746939000","747.00","772.00","741.00","765.00","32.0000","944"
"3535","晶彩科","4167000","112579600","26.45","27.60","26.30","26.90","1.3000","2367"
"3536","誠創","17000","89850","5.30","5.30","5.10","5.25","0.0300","9"
"3543","州巧","19000","415050","21.90","22.30","21.50","21.95","0.4500","14"
"3545","敦泰","2903000","280472200","95.00","97.90","94.70","97.10","3.4000","1960"
"3550","聯穎","76000","1128650","14.80","14.95","14.75","14.85","0.1000","55"
"3557","嘉威","28000","1827900","65.10","65.50","65.10","65.30","0.3000","24"
"3563","牧德","89000","13467500","149.50","152.50","149.50","152.50","5.0000","80"
"3576","聯合再生","17882000","409718250","23.10","23.30","22.50","22.95","-0.0500","6727"
"3583","辛耘","608000","46974500","76.20","78.10","75.80","77.70","3.0000","493"
"3588","通嘉","633000","58578200","90.90","93.60","90.80","92.60","3.3000","521"
"3591","艾笛森","168000","2621150","15.45","15.75","15.45","15.60","0.3000","102"
"3592","瑞鼎","407000","156167500","381.50","386.50","380.00","383.50","6.5000","347"
"3593","力銘","47000","670400","14.45","14.45","14.10","14.40","0.1000","40"
"3596","智易","4284000","535289000","123.50","126.50","123.50","124.50","2.5000","2863"
"3605","宏致","494000","19638200","39.50","40.05","39.30","39.95","1.2500","295"
"3607","谷崧","252000","3353800","13.30","13.40","13.20","13.35","0.2000","148"
"3617","碩天","48000","3368000","68.80","70.50","68.80","70.10","0.3000","41"
"3622","洋華","2153000","75991800","34.70","36.20","34.35","35.10","1.1000","1362"
"3645","達邁","15786000","854219500","59.00","59.00","52.20","52.20","-5.8000","8047"
"3653","健策","795000","299329000","368.00","381.50","368.00","376.00","14.0000","695"
"3661","世芯-KY","4931000","3702267000","733.00","766.00","731.00","754.00","41.0000","4366"
"3665","貿聯-KY","1632000","508964000","309.00","315.00","306.00","312.00","7.0000","1281"
"3669","圓展","91000","3931750","42.40","43.45","42.40","43.45","1.1500","75"
"3673","TPK-KY","1777000","61874100","34.10","35.20","34.05","35.10","1.6000","1129"
"3679","新至陞","38000","2828400","72.70","75.70","72.70","75.70","3.0000","36"
"3682","亞太電","4396000","32529040","7.45","7.48","7.33","7.35","-0.1000","1258"
"3686","達能","976000","14025100","14.65","14.65","14.15","14.35","-0.1000","502"
"3694","海華","94000","1757100","18.50","18.80","18.50","18.55","0.2000","65"
"3701","大眾控","3688000","188760050","50.10","52.50","49.90","51.00","2.6500","2342"
"3702","大聯大","3539000","198135200","55.90","56.20","55.60","55.80","0.5000","1542"
"3702A","大聯大甲特","255000","12737850","49.95","50.00","49.95","49.95","0.0000","197"
"3703","欣陸","1576000","45608600","29.10","29.20","28.70","28.90","0.2000","676"
"3704","合勤控","967000","27323850","28.15","28.40","28.10","28.20","0.3500","589"
"3705","永信","875000","35273200","40.95","41.15","40.00","40.50","-0.3500","638"
"3706","神達","3059000","87827950","28.65","28.80","28.55","28.80","0.3500","1737"
"3708","上緯投控","16106000","2049475000","124.00","132.00","122.50","131.00","8.5000","10264"
"3711","日月光投控","16885000","1586426700","93.50","94.60","93.10","94.30","2.3000","6081"
"3712","永崴投控","487000","14967600","30.90","30.90","30.50","30.85","0.1500","339"
"3714","富采","4484000","233569300","52.10","52.50","51.50","52.10","1.1000","2516"
"4104","佳醫","304000","20652500","67.60","68.30","67.30","68.00","0.8000","200"
"4106","雃博","413000","10507050","25.25","25.75","25.15","25.45","0.2500","244"
"4108","懷特","195000","3754700","19.50","19.50","19.10","19.20","0.1000","116"
"4119","旭富","133000","11158700","84.10","84.50","83.60","83.80","0.3000","99"
"4133","亞諾法","2787000","109784450","39.30","40.30","38.25","40.20","1.6000","1622"
"4137","麗豐-KY","64000","12315000","192.00","193.50","191.50","192.50","2.5000","55"
"4142","國光生","4662000","180290000","39.40","39.45","37.80","39.35","0.7000","2655"
"4148","全宇生技-KY","209000","10615500","49.90","51.20","49.90","50.50","1.2500","163"
"4155","訊映","431000","10360700","23.95","24.25","23.90","24.00","0.3000","220"
"4164","承業醫","168000","6959000","41.70","41.70","41.15","41.40","0.2000","130"
"4190","佐登-KY","38000","2557500","67.30","67.60","67.00","67.60","0.8000","29"
"4306","炎洲","638000","9792200","15.30","15.40","15.30","15.30","0.1000","220"
"4414","如興","2252000","11641000","5.15","5.23","5.08","5.20","0.1200","601"
"4426","利勤","3016000","88340000","29.00","29.80","28.65","29.25","0.0500","1598"
"4438","廣越","38000","4192500","110.00","111.00","109.50","110.50","1.0000","30"
"4439","冠星-KY","6000","841000","139.50","141.00","139.00","141.00","3.0000","6"
"4440","宜新實業","38000","1516550","40.85","40.85","39.55","39.80","0.3000","26"
"4526","東台","126000","1846100","14.45","14.80","14.45","14.65","0.2500","94"
"4532","瑞智","488000","8493950","17.45","17.45","17.35","17.45","0.1000","224"
"4536","拓凱","83000","11201000","135.00","136.50","133.00","134.50","1.0000","76"
"4540","全球傳動","186000","8669600","47.20","47.30","46.25","46.65","1.1500","138"
"4545","銘鈺","26000","750550","28.90","28.95","28.80","28.90","0.3000","21"
"4551","智伸科","2864000","476348000","165.50","168.00","162.00","168.00","4.0000","2055"
"4552","力達-KY","41000","1190900","29.30","29.35","28.75","28.80","-0.1500","35"
"4555","氣立","91000","5214900","55.60","57.60","55.60","57.30","0.1000","43"
"4557","永新-KY","98000","7664300","78.30","79.20","77.30","77.90","0.0000","68"
"4560","強信-KY","72000","2944450","41.00","41.00","40.70","40.75","0.0500","49"
"4562","穎漢","418000","6583350","15.05","16.10","15.05","15.80","0.7500","275"
"4564","元翎","322000","10117150","30.85","31.90","30.85","31.50","1.0000","214"
"4566","時碩工業","90000","4267900","46.35","47.80","46.35","47.60","1.5000","73"
"4571","鈞興-KY","19000","1501700","78.50","79.50","78.30","79.10","0.4000","15"
"4572","駐龍","1246000","165926000","129.50","136.00","128.00","134.00","8.0000","987"
"4576","大銀微系統","249000","23831100","95.80","97.00","93.50","95.10","0.5000","147"
"4581","光隆精密-KY","11000","339500","31.60","31.60","30.25","30.25","-0.6000","10"
"4583","台灣精銳","79000","17854500","224.50","228.00","223.00","226.50","5.0000","73"
"4720","德淵","287000","4110150","14.35","14.40","14.15","14.30","0.0000","62"
"4722","國精化","251000","9781250","38.60","39.15","38.60","39.05","0.4500","148"
"4737","華廣","93000","6955400","74.50","75.00","74.00","74.90","1.1000","67"
"4739","康普","2816000","362394000","126.00","131.00","126.00","130.00","6.5000","1862"
"4746","台耀","1106000","56784000","50.90","52.30","50.10","51.50","1.1000","684"
"4755","三福化","3173000","551163000","172.00","176.50","170.50","174.00","6.0000","2251"
"4763","材料-KY","341000","38591000","113.50","115.00","111.50","112.50","1.0000","241"
"4764","雙鍵","40000","2262500","56.90","57.70","55.40","56.30","-0.4000","37"
"4766","南寶","57000","7545500","131.50","133.00","131.50","132.00","0.0000","51"
"4770","上品","254000","69055500","266.50","274.50","266.50","273.00","9.5000","224"
"4807","日成-KY","17000","416000","24.50","24.50","24.35","24.45","0.4500","10"
"4904","遠傳","4409000","370743100","84.40","84.70","83.50","84.00","-0.7000","2321"
"4906","正文","4214000","130123850","31.15","31.20","30.65","30.95","0.3500","1967"
"4912","聯德控股-KY","200000","21833000","107.50","111.00","107.00","109.50","4.5000","137"
"4915","致伸","4277000","251047500","58.00","59.30","57.40","59.00","1.9000","2430"
"4916","事欣科","214000","4827450","22.30","22.75","22.20","22.70","0.5500","143"
"4919","新唐","18348000","2713428000","144.00","153.50","142.50","147.50","7.5000","11578"
"4927","泰鼎-KY","1328000","98671300","73.50","74.90","73.30","74.00","1.7000","912"
"4930","燦星網","100000","2498300","24.60","25.30","24.60","25.00","0.8000","82"
"4934","太極","6387000","205364400","31.00","33.10","30.20","33.10","3.0000","3354"
"4935","茂林-KY","89000","5529400","61.00","62.50","61.00","62.20","1.9000","78"
"4938","和碩","6255000","430198800","69.00","69.20","68.50","68.70","0.2000","2060"
"4942","嘉彰","154000","6305850","40.70","41.10","40.70","40.90","0.2000","86"
"4943","康控-KY","307000","5882850","18.75","19.40","18.75","19.20","0.6000","197"
"4952","凌通","1118000","72824600","64.00","66.10","64.00","65.40","2.0000","756"
"4956","光鋐","133000","2323850","17.15","17.60","17.15","17.60","0.6500","95"
"4958","臻鼎-KY","4303000","449218500","103.50","105.50","102.50","104.00","2.0000","2233"
"4960","誠美材","2425000","25485650","10.40","10.60","10.35","10.55","0.3000","595"
"4961","天鈺","2203000","321320500","144.00","148.00","143.50","146.00","6.0000","1636"
"4967","十銓","410000","11806050","28.20","29.15","28.20","29.10","1.3500","251"
"4968","立積","1146000","206759500","177.50","183.00","176.00","182.00","9.5000","920"
"4976","佳凌","834000","36907850","43.00","45.20","43.00","44.20","1.5000","532"
"4977","眾達-KY","77000","6131800","78.90","80.30","78.60","80.10","2.4000","64"
"4989","榮科","219000","6317000","28.50","29.15","28.35","28.50","0.3000","144"
"4994","傳奇","94000","4298300","44.95","46.00","44.95","45.90","1.0500","75"
"4999","鑫禾","40000","1438700","35.70","36.20","35.70","36.20","0.5500","24"
"5007","三星","125000","7316000","58.30","59.00","57.90","58.10","0.0000","85"
"5203","訊連","217000","19662000","93.50","93.50","88.90","89.20","-1.3000","183"
"5215","科嘉-KY","70000","3631800","51.50","52.20","51.50","52.10","1.1000","51"
"5222","全訊","362000","50073500","137.00","141.00","135.00","138.50","5.5000","292"
"5225","東科-KY","137000","3010850","22.00","22.10","21.70","21.90","0.2000","40"
"5234","達興材料","159000","14495000","90.60","92.00","90.60","90.70","1.6000","137"
"5243","乙盛-KY","4112000","273529200","66.50","67.40","65.00","66.80","1.3000","2665"
"5244","弘凱","39000","1271850","32.15","32.85","32.15","32.80","0.0500","34"
